iter	Passed	Remaining
0	170	155902
1	361	165639
2	831	253590
3	884	202088
4	1006	183815
5	1180	179387
6	1512	196831
7	1835	208844
8	2150	217230
9	2340	212478
10	2558	210966
11	3019	228005
12	3511	244438
13	3799	245327
14	4798	288842
15	4855	273726
16	4976	263731
17	5275	263783
18	5444	257594
19	5621	252424
20	6058	258796
21	6238	254090
22	6481	252213
23	6793	253058
24	7755	277033
25	7876	270237
26	8155	269123
27	8258	262507
28	8535	261651
29	8868	262507
30	9204	263354
31	9687	268232
32	10114	271255
33	10177	264616
34	10553	266239
35	10763	263713
36	10943	260568
37	11147	258146
38	11414	257258
39	11488	252164
40	11547	247014
41	11682	243669
42	11840	240934
43	12115	240651
44	12289	238410
45	12433	235689
46	12727	235861
47	13063	236782
48	13299	235857
49	13572	235625
50	13762	233968
51	13997	233106
52	14526	237076
53	14658	234539
54	14743	231338
55	14917	229616
56	15138	228676
57	15246	226070
58	15370	223788
59	15641	223675
60	15727	220956
61	15952	220249
62	16196	219804
63	16519	220437
64	16904	221841
65	17047	220070
66	17212	218625
67	17240	215500
68	17515	215518
69	17869	216477
70	18257	217806
71	18484	217194
72	19121	221337
73	19411	221395
74	19706	221498
75	20119	222905
76	20469	223564
77	20636	222235
78	20869	221635
79	21070	220712
80	21242	219507
81	21596	220178
82	21782	32049	383	22283	32742	318461
84	33370	320359
85	33741	319760
86	33901	317190
87	34451	318289
88	34937	318752
89	36082	325145
90	36508	324965
91	36851	324048
92	37277	323874
93	37931	325643
94	38427	326030
95	39818	333894
96	40051	331971
97	41264	338118
98	41647	337386
99	41860	335299
100	42151	333874
101	42303	331376
102	42359	328182
103	42382	324798
104	42927	325433
105	43196	323975
106	43257	320992
107	43440	318965
108	43912	319067
109	43934	315930
110	44051	313520
111	44129	310875
112	45079	314360
113	45387	313334
114	45680	312217
115	46130	312179
116	46501	311602
117	48596	322467
118	49077	322510
119	49575	322651
120	50544	325823
121	51163	326694
122	52041	329171
123	52229	327274
124	53483	332026
125	54107	332801
126	55370	337455
127	55941	337835
128	56808	339971
129	58276	345625
130	58356	343010
131	59077	344171
132	60013	346542
133	61540	352249
134	61961	351572
135	62354	350745
136	62859	350544
137	63390	350485
138	64198	351936
139	64469	350436
140	65076	350766
141	65463	349907
142	65865	349134
143	66241	348225
144	66637	347436
145	67191	347464
146	67478	346114
147	67668	344286
148	68126	343831
149	69058	345752
150	69310	344256
151	70026	345065
152	70871	346483
153	71549	347061
154	71918	346135
155	73275	349935
156	73359	347640
157	73768	346899
158	73839	344584
159	73863	342079
160	73885	339595
161	75007	342162
162	75855	343444
163	77036	346196
164	77433	345400
165	77808	344512
166	78240	343881
167	78936	344405
168	79047	342381
169	79580	342194
170	79926	341208
171	81084	343667
172	81522	343055
173	82137	343184
174	82323	341526
175	82909	341530
176	84134	344143
177	84728	344151
178	85440	344627
179	86349	345875
180	86887	345631
181	87630	346186
182	87842	344650
183	88317	344149
184	88529	342631
185	88995	342107
186	89441	341502
187	90225	342183
188	90251	339994
189	90767	339661
190	91147	338821
191	91744	338785
192	92324	338682
193	92875	338467
194	93398	338149
195	93642	336824
196	94639	338202
197	95402	338728
198	96037	338787
199	96563	338455
200	96868	337352
201	97848	338594
202	98641	339170
203	99383	339559
204	99709	338526
205	100439	338862
206	100757	337804
207	101176	337092
208	101739	336859
209	102104	335972
210	102859	336364
211	103328	335818
212	104542	337676
213	104690	336087
214	105204	335675
215	105632	334991
216	106089	334400
217	106520	333732
218	107625	335163
219	107963	334195
220	108439	333660
221	108634	332263
222	109335	332419
223	110120	332820
224	111399	334693
225	111762	333803
226	112124	332915
227	112465	331971
228	113128	331975
229	113634	331515
230	114161	331119
231	114951	331475
232	115279	330500
233	115617	329558
234	116249	329456
235	116930	329485
236	118206	331176
237	118801	330945
238	119000	329616
239	119265	328475
240	121279	332133
241	121370	330508
242	122219	330948
243	123393	332252
244	123941	331860
245	125049	332957
246	125693	332806
247	125963	331669
248	126403	330984
249	127022	330766
250	127401	329924
251	127632	328704
252	128304	328621
253	128570	327499
254	129239	327406
255	130193	328027
256	130706	327528
257	131441	327583
258	132199	327690
259	132766	327320
260	133470	327283
261	134250	327426
262	134850	327128
263	135927	327977
264	136763	328232
265	137441	328102
266	137821	327262
267	138417	326932
